dataset,model,type,metric1,metric2,composite
DAGM,resnet50,CNN,0.9948,0.9882,0.9928
DAGM,mobilenet_v3_large,CNN,0.9634,0.9159,0.9492
DAGM,yolov8n,YOLO,0.991,0.6363,0.8827
DAGM,yolov8s,YOLO,0.9931,0.6223,0.8789
DAGM,efficientnet_b0,CNN,0.8629,0.7499,0.829
KSDD2,resnet50,CNN,0.9721,0.9328,0.9603
KSDD2,mobilenet_v3_large,CNN,0.9381,0.8673,0.9169
KSDD2,efficientnet_b0,CNN,0.9261,0.8436,0.9014
KSDD2,yolov8n,YOLO,0.6673,0.3552,0.579
KSDD2,yolov8s,YOLO,0.6422,0.3417,0.5584
NEU-DET,resnet50,CNN,0.9988,0.999,0.9989
NEU-DET,mobilenet_v3_large,CNN,0.9863,0.9857,0.9861
NEU-DET,efficientnet_b0,CNN,0.9851,0.9855,0.9852
NEU-DET,yolov8s,YOLO,0.7191,0.4047,0.6172
NEU-DET,yolov8n,YOLO,0.7235,0.4,0.6164
