elapsed_s,avg_cpu_pct,energy_j_total,energy_j_frame,wh_per_frame,wh_per_1000,mean_ms,fps,status,dataset,model,format,type,tdp_w
6.081,67.0,61.0894,1.221789,0.00033939,0.33939,121.61,8.2,ok,NEU-DET,yolov8n,pytorch,yolo,15.0
3.501,83.0,43.5608,0.871217,0.000242,0.242,70.02,14.3,ok,NEU-DET,yolov8n,onnx_fp32,yolo,15.0
29.102,83.9,366.0382,7.320764,0.00203355,2.03355,582.04,1.7,ok,NEU-DET,yolov8n,onnx_int8,yolo,15.0
11.57,9.5,16.4803,0.329606,9.156e-05,0.09156,231.4,4.3,ok,NEU-DET,yolov8n,tflite,yolo,15.0
14.562,67.8,148.1466,2.962932,0.00082304,0.82304,291.24,3.4,ok,NEU-DET,yolov8s,pytorch,yolo,15.0
8.86,83.6,111.1596,2.223193,0.00061755,0.61755,177.19,5.6,ok,NEU-DET,yolov8s,onnx_fp32,yolo,15.0
76.439,84.9,973.0549,19.461098,0.00540586,5.40586,1528.77,0.7,ok,NEU-DET,yolov8s,onnx_int8,yolo,15.0
3.819,9.6,5.4824,0.109648,3.046e-05,0.03046,76.39,13.1,ok,NEU-DET,yolov8s,tflite,yolo,15.0
2.658,66.0,26.3105,0.52621,0.00014617,0.14617,53.15,18.8,ok,DAGM,yolov8n,pytorch,yolo,15.0
1.525,80.6,18.4261,0.368523,0.00010237,0.10237,30.49,32.8,ok,DAGM,yolov8n,onnx_fp32,yolo,15.0
13.821,83.2,172.4869,3.449739,0.00095826,0.95826,276.41,3.6,ok,DAGM,yolov8n,onnx_int8,yolo,15.0
3.922,10.0,5.87,0.117399,3.261e-05,0.03261,78.45,12.7,ok,DAGM,yolov8n,tflite,yolo,15.0
7.249,66.5,72.2544,1.445087,0.00040141,0.40141,144.97,6.9,ok,DAGM,yolov8s,pytorch,yolo,15.0
4.876,82.8,60.5759,1.211518,0.00033653,0.33653,97.53,10.3,ok,DAGM,yolov8s,onnx_fp32,yolo,15.0
44.335,83.8,557.0825,11.14165,0.0030949,3.0949,886.71,1.1,ok,DAGM,yolov8s,onnx_int8,yolo,15.0
3.766,9.9,5.6153,0.112307,3.12e-05,0.0312,75.31,13.3,ok,DAGM,yolov8s,tflite,yolo,15.0
2.928,65.9,28.9594,0.579188,0.00016089,0.16089,58.56,17.1,ok,KSDD2,yolov8n,pytorch,yolo,15.0
1.846,81.3,22.5112,0.450224,0.00012506,0.12506,36.92,27.1,ok,KSDD2,yolov8n,onnx_fp32,yolo,15.0
13.924,83.3,174.0679,3.481358,0.00096704,0.96704,278.47,3.6,ok,KSDD2,yolov8n,onnx_int8,yolo,15.0
