dataset,model,format,model_path,eval_time_s,map50,map50_95,precision,recall,f1,status,latency_ms,p95_ms,fps,size_mb,wh_per_1000,avg_cpu_pct,pipeline,accuracy,f1_macro,num_samples,eval_s
DAGM,yolov8n,pytorch,models\yolo\full\DAGM_yolov8n_best.pt,82.2,0.995,0.6567,0.9899,1.0,0.9949,ok,69.36,73.58,14.4,6.25,0.14617,66.0,yolo,,,,
DAGM,yolov8s,pytorch,models\yolo\full\DAGM_yolov8s_best.pt,176.2,0.9932,0.6244,0.986,0.9898,0.9879,ok,181.93,189.55,5.5,22.52,0.40141,66.5,yolo,,,,
KSDD2,yolov8n,pytorch,models\yolo\full\KSDD2_yolov8n_best.pt,25.7,0.3274,0.1814,0.4099,0.625,0.4951,ok,80.36,84.67,12.4,6.25,0.16089,65.9,yolo,,,,
KSDD2,yolov8s,pytorch,models\yolo\full\KSDD2_yolov8s_best.pt,56.6,0.2604,0.1512,0.3333,0.5625,0.4186,ok,200.22,214.07,5.0,22.52,0.49812,66.9,yolo,,,,
NEU-DET,yolov8n,pytorch,models\yolo\full\NEU-DET_yolov8n_best.pt,23.7,0.7148,0.4268,0.7459,0.6795,0.7112,ok,55.67,59.33,18.0,6.26,0.33939,67.0,yolo,,,,
NEU-DET,yolov8s,pytorch,models\yolo\full\NEU-DET_yolov8s_best.pt,52.8,0.7153,0.4302,0.7065,0.68,0.693,ok,161.62,177.81,6.2,22.53,0.82304,67.8,yolo,,,,
DAGM,yolov8n,onnx,models\yolo\onnx\DAGM_yolov8n.onnx,68.1,0.995,0.6567,0.9899,1.0,0.9949,ok,,,,,,,yolo,,,,
DAGM,yolov8s,onnx,models\yolo\onnx\DAGM_yolov8s.onnx,143.5,0.9932,0.6244,0.986,0.9898,0.9879,ok,,,,,,,yolo,,,,
KSDD2,yolov8n,onnx,models\yolo\onnx\KSDD2_yolov8n.onnx,21.7,0.3274,0.1814,0.4099,0.625,0.4951,ok,,,,,,,yolo,,,,
KSDD2,yolov8s,onnx,models\yolo\onnx\KSDD2_yolov8s.onnx,47.1,0.2604,0.1512,0.3333,0.5625,0.4186,ok,,,,,,,yolo,,,,
NEU-DET,yolov8n,onnx,models\yolo\onnx\NEU-DET_yolov8n.onnx,19.8,0.7148,0.4268,0.7459,0.6795,0.7112,ok,,,,,,,yolo,,,,
NEU-DET,yolov8s,onnx,models\yolo\onnx\NEU-DET_yolov8s.onnx,44.2,0.7153,0.4302,0.7065,0.68,0.693,ok,,,,,,,yolo,,,,
DAGM,int8,onnx_int8,models\yolo\quantized\DAGM_yolov8n_int8.onnx,366.7,0.995,0.637,0.9899,1.0,0.9949,ok,,,,,,,yolo,,,,
DAGM,int8,onnx_int8,models\yolo\quantized\DAGM_yolov8s_int8.onnx,1118.1,0.9813,0.5977,0.9768,0.9796,0.9782,ok,,,,,,,yolo,,,,
KSDD2,int8,onnx_int8,models\yolo\quantized\KSDD2_yolov8n_int8.onnx,109.5,0.3298,0.1819,0.4149,0.625,0.4987,ok,,,,,,,yolo,,,,
KSDD2,int8,onnx_int8,models\yolo\quantized\KSDD2_yolov8s_int8.onnx,335.8,0.2578,0.1498,0.3214,0.5625,0.4091,ok,,,,,,,yolo,,,,
NEU-DET,yolov8n,onnx_int8,models\yolo\quantized\NEU-DET_yolov8n_int8.onnx,104.4,0.6235,0.3645,0.7012,0.5357,0.6074,ok,,,,3.4,2.03355,83.9,yolo,,,,
NEU-DET,yolov8s,onnx_int8,models\yolo\quantized\NEU-DET_yolov8s_int8.onnx,324.0,0.6263,0.3442,0.6269,0.5656,0.5947,ok,,,,11.54,5.40586,84.9,yolo,,,,
DAGM,yolov8n,tflite,models\yolo\tflite\DAGM_yolov8n.tflite,144.6,0.0,0.0,0.0,0.0,0.0,ok,78.04,80.95,12.8,12.28,0.03261,10.0,yolo,,,,
DAGM,yolov8s,tflite,models\yolo\tflite\DAGM_yolov8s.tflite,139.0,0.0,0.0,0.0,0.0,0.0,ok,82.38,85.21,12.1,12.28,0.0312,9.9,yolo,,,,
KSDD2,yolov8n,tflite,models\yolo\tflite\KSDD2_yolov8n.tflite,45.5,0.0,0.0,0.0,0.0,0.0,ok,84.08,88.07,11.9,12.28,0.02985,9.5,yolo,,,,
KSDD2,yolov8s,tflite,models\yolo\tflite\KSDD2_yolov8s.tflite,52.3,0.0,0.0,0.0,0.0,0.0,ok,83.95,87.13,11.9,12.28,0.03278,9.8,yolo,,,,
NEU-DET,yolov8n,tflite,models\yolo\tflite\NEU-DET_yolov8n.tflite,47.1,0.6813,0.4074,0.7005,0.6579,0.6785,ok,79.57,94.33,12.6,12.28,0.09156,9.5,yolo,,,,
NEU-DET,yolov8s,tflite,models\yolo\tflite\NEU-DET_yolov8s.tflite,51.3,0.6813,0.4074,0.7005,0.6579,0.6785,ok,97.19,227.96,10.3,12.28,0.03046,9.6,yolo,,,,
NEU-DET,resnet50,pytorch,,,,,,,,ok,,,,,,,cnn,0.9988,0.999,805.0,73.4
NEU-DET,resnet50,onnx_fp32,,,,,,,,ok,33.79,35.56,29.6,94.17,0.10383,81.3,cnn,0.9988,0.999,805.0,106.6
NEU-DET,resnet50,onnx_int8,,,,,,,,ok,,,,23.75,1.16875,83.2,cnn,0.9615,0.9595,805.0,321.0
NEU-DET,resnet50,tflite_fp32,,,,,,,,ok,83.58,89.65,12.0,94.0,0.03237,9.8,cnn,0.9988,0.999,805.0,150.6
NEU-DET,resnet50,tflite_int8,,,,,,,,ok,28.71,30.23,34.8,23.92,0.01002,8.5,cnn,0.9963,0.9964,805.0,39.3
NEU-DET,efficientnet_b0,pytorch,,,,,,,,ok,,,,,,,cnn,0.9851,0.9855,805.0,24.6
NEU-DET,efficientnet_b0,onnx_fp32,,,,,,,,ok,9.78,10.57,102.2,16.53,0.02519,74.0,cnn,0.9851,0.9855,805.0,101.0
NEU-DET,efficientnet_b0,onnx_int8,,,,,,,,ok,,,,4.54,0.37431,82.8,cnn,0.2422,0.1452,805.0,110.8
NEU-DET,efficientnet_b0,tflite_fp32,,,,,,,,ok,12.81,13.82,78.1,16.03,0.00478,9.2,cnn,0.9851,0.9855,805.0,26.9
NEU-DET,efficientnet_b0,tflite_int8,,,,,,,,ok,46.01,49.25,21.7,4.53,0.01643,8.8,cnn,0.9764,0.9755,805.0,76.0
NEU-DET,mobilenet_v3_large,pytorch,,,,,,,,ok,,,,,,,cnn,0.9863,0.9857,805.0,17.3
NEU-DET,mobilenet_v3_large,onnx_fp32,,,,,,,,ok,5.37,5.89,186.1,17.1,0.0117,67.1,cnn,0.9863,0.9857,805.0,8.3
NEU-DET,mobilenet_v3_large,onnx_int8,,,,,,,,ok,,,,4.5,0.20998,82.3,cnn,0.8273,0.8139,805.0,178.1
NEU-DET,mobilenet_v3_large,tflite_fp32,,,,,,,,ok,6.08,6.84,164.6,16.83,0.00214,8.1,cnn,0.9863,0.9857,805.0,14.1
NEU-DET,mobilenet_v3_large,tflite_int8,,,,,,,,ok,20.87,21.77,47.9,4.53,0.00837,9.6,cnn,0.9801,0.9798,805.0,35.7
DAGM,resnet50,pytorch,,,,,,,,ok,,,,,,,cnn,0.9948,0.9882,766.0,72.0
DAGM,resnet50,onnx_fp32,,,,,,,,ok,33.98,35.99,29.4,94.15,0.1077,81.1,cnn,0.9948,0.9882,766.0,41.1
DAGM,resnet50,onnx_int8,,,,,,,,ok,,,,23.74,1.23025,83.5,cnn,0.9869,0.9702,766.0,311.0
DAGM,resnet50,tflite_fp32,,,,,,,,ok,82.75,86.21,12.1,93.97,0.05117,15.8,cnn,0.9948,0.9882,766.0,143.2
DAGM,resnet50,tflite_int8,,,,,,,,ok,28.67,30.5,34.9,23.91,0.01206,10.2,cnn,0.9935,0.9853,766.0,40.7
DAGM,efficientnet_b0,pytorch,,,,,,,,ok,,,,,,,cnn,0.8629,0.7499,766.0,27.3
DAGM,efficientnet_b0,onnx_fp32,,,,,,,,ok,9.84,10.55,101.6,16.52,0.02635,75.6,cnn,0.8629,0.7499,766.0,14.8
DAGM,efficientnet_b0,onnx_int8,,,,,,,,ok,,,,4.54,0.37532,82.6,cnn,0.5183,0.4344,766.0,99.0
DAGM,efficientnet_b0,tflite_fp32,,,,,,,,ok,12.61,13.74,79.3,16.02,0.00563,11.0,cnn,0.8629,0.7499,766.0,30.6
DAGM,efficientnet_b0,tflite_int8,,,,,,,,ok,45.55,46.99,22.0,4.52,0.01871,10.0,cnn,0.8381,0.7212,766.0,77.4
DAGM,mobilenet_v3_large,pytorch,,,,,,,,ok,,,,,,,cnn,0.9634,0.9159,766.0,20.2
DAGM,mobilenet_v3_large,onnx_fp32,,,,,,,,ok,5.34,5.9,187.3,17.08,0.01142,66.3,cnn,0.9634,0.9159,766.0,83.6
DAGM,mobilenet_v3_large,onnx_int8,,,,,,,,ok,,,,4.49,0.20894,82.2,cnn,0.9608,0.9027,766.0,72.5
DAGM,mobilenet_v3_large,tflite_fp32,,,,,,,,ok,6.11,6.99,163.6,16.82,0.00201,7.9,cnn,0.9634,0.9159,766.0,16.7
DAGM,mobilenet_v3_large,tflite_int8,,,,,,,,ok,20.89,21.93,47.9,4.52,0.00935,10.8,cnn,0.9634,0.9166,766.0,38.9
KSDD2,resnet50,pytorch,,,,,,,,ok,,,,,,,cnn,0.9721,0.9328,501.0,52.4
KSDD2,resnet50,onnx_fp32,,,,,,,,ok,33.83,35.64,29.6,94.15,0.12592,88.7,cnn,0.9721,0.9328,501.0,32.2
KSDD2,resnet50,onnx_int8,,,,,,,,ok,,,,23.74,1.18247,83.4,cnn,0.9701,0.9228,501.0,305.8
KSDD2,resnet50,tflite_fp32,,,,,,,,ok,83.19,86.64,12.0,93.97,0.02912,9.0,cnn,0.9721,0.9328,501.0,137.4
KSDD2,resnet50,tflite_int8,,,,,,,,ok,28.77,30.42,34.8,23.91,0.01009,8.5,cnn,0.9681,0.9232,501.0,53.5
KSDD2,efficientnet_b0,pytorch,,,,,,,,ok,,,,,,,cnn,0.9261,0.8436,501.0,32.0
KSDD2,efficientnet_b0,onnx_fp32,,,,,,,,ok,9.93,10.89,100.7,16.52,0.0239,72.3,cnn,0.9261,0.8436,501.0,43.5
KSDD2,efficientnet_b0,onnx_int8,,,,,,,,ok,,,,4.54,0.35936,82.8,cnn,0.8922,0.5213,501.0,147.8
KSDD2,efficientnet_b0,tflite_fp32,,,,,,,,ok,12.52,13.9,79.9,16.02,0.00417,8.4,cnn,0.9261,0.8436,501.0,35.1
KSDD2,efficientnet_b0,tflite_int8,,,,,,,,ok,45.71,47.26,21.9,4.52,0.01656,9.1,cnn,0.9341,0.8512,501.0,99.1
KSDD2,mobilenet_v3_large,pytorch,,,,,,,,ok,,,,,,,cnn,0.9381,0.8673,501.0,25.3
KSDD2,mobilenet_v3_large,onnx_fp32,,,,,,,,ok,5.35,5.9,186.8,17.08,0.01018,62.5,cnn,0.9381,0.8673,501.0,14.3
KSDD2,mobilenet_v3_large,onnx_int8,,,,,,,,ok,,,,4.49,0.20379,82.2,cnn,0.9541,0.8903,501.0,125.4
KSDD2,mobilenet_v3_large,tflite_fp32,,,,,,,,ok,6.04,7.01,165.5,16.82,0.00193,7.7,cnn,0.9381,0.8673,501.0,19.9
KSDD2,mobilenet_v3_large,tflite_int8,,,,,,,,ok,20.91,21.81,47.8,4.52,0.00858,10.0,cnn,0.9381,0.8639,501.0,51.9
