accuracy,f1_macro,num_samples,status,dataset,model,format,eval_s,latency_ms,p95_ms,fps,size_mb,wh_per_1000,avg_cpu_pct
0.9988,0.999,805,ok,NEU-DET,resnet50,pytorch,73.4,,,,,,
0.9988,0.999,805,ok,NEU-DET,resnet50,onnx_fp32,106.6,33.79,35.56,29.6,94.17,0.10383,81.3
0.9615,0.9595,805,ok,NEU-DET,resnet50,onnx_int8,321.0,,,,23.75,1.16875,83.2
0.9988,0.999,805,ok,NEU-DET,resnet50,tflite_fp32,150.6,83.58,89.65,12.0,94.0,0.03237,9.8
0.9963,0.9964,805,ok,NEU-DET,resnet50,tflite_int8,39.3,28.71,30.23,34.8,23.92,0.01002,8.5
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,pytorch,24.6,,,,,,
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,onnx_fp32,101.0,9.78,10.57,102.2,16.53,0.02519,74.0
0.2422,0.1452,805,ok,NEU-DET,efficientnet_b0,onnx_int8,110.8,,,,4.54,0.37431,82.8
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,tflite_fp32,26.9,12.81,13.82,78.1,16.03,0.00478,9.2
0.9764,0.9755,805,ok,NEU-DET,efficientnet_b0,tflite_int8,76.0,46.01,49.25,21.7,4.53,0.01643,8.8
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,pytorch,17.3,,,,,,
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,onnx_fp32,8.3,5.37,5.89,186.1,17.1,0.0117,67.1
0.8273,0.8139,805,ok,NEU-DET,mobilenet_v3_large,onnx_int8,178.1,,,,4.5,0.20998,82.3
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,tflite_fp32,14.1,6.08,6.84,164.6,16.83,0.00214,8.1
0.9801,0.9798,805,ok,NEU-DET,mobilenet_v3_large,tflite_int8,35.7,20.87,21.77,47.9,4.53,0.00837,9.6
0.9948,0.9882,766,ok,DAGM,resnet50,pytorch,72.0,,,,,,
0.9948,0.9882,766,ok,DAGM,resnet50,onnx_fp32,41.1,33.98,35.99,29.4,94.15,0.1077,81.1
0.9869,0.9702,766,ok,DAGM,resnet50,onnx_int8,311.0,,,,23.74,1.23025,83.5
0.9948,0.9882,766,ok,DAGM,resnet50,tflite_fp32,143.2,82.75,86.21,12.1,93.97,0.05117,15.8
0.9935,0.9853,766,ok,DAGM,resnet50,tflite_int8,40.7,28.67,30.5,34.9,23.91,0.01206,10.2
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,pytorch,27.3,,,,,,
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,onnx_fp32,14.8,9.84,10.55,101.6,16.52,0.02635,75.6
0.5183,0.4344,766,ok,DAGM,efficientnet_b0,onnx_int8,99.0,,,,4.54,0.37532,82.6
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,tflite_fp32,30.6,12.61,13.74,79.3,16.02,0.00563,11.0
0.8381,0.7212,766,ok,DAGM,efficientnet_b0,tflite_int8,77.4,45.55,46.99,22.0,4.52,0.01871,10.0
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,pytorch,20.2,,,,,,
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,onnx_fp32,83.6,5.34,5.9,187.3,17.08,0.01142,66.3
0.9608,0.9027,766,ok,DAGM,mobilenet_v3_large,onnx_int8,72.5,,,,4.49,0.20894,82.2
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,tflite_fp32,16.7,6.11,6.99,163.6,16.82,0.00201,7.9
0.9634,0.9166,766,ok,DAGM,mobilenet_v3_large,tflite_int8,38.9,20.89,21.93,47.9,4.52,0.00935,10.8
0.9721,0.9328,501,ok,KSDD2,resnet50,pytorch,52.4,,,,,,
0.9721,0.9328,501,ok,KSDD2,resnet50,onnx_fp32,32.2,33.83,35.64,29.6,94.15,0.12592,88.7
0.9701,0.9228,501,ok,KSDD2,resnet50,onnx_int8,305.8,,,,23.74,1.18247,83.4
0.9721,0.9328,501,ok,KSDD2,resnet50,tflite_fp32,137.4,83.19,86.64,12.0,93.97,0.02912,9.0
0.9681,0.9232,501,ok,KSDD2,resnet50,tflite_int8,53.5,28.77,30.42,34.8,23.91,0.01009,8.5
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,pytorch,32.0,,,,,,
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,onnx_fp32,43.5,9.93,10.89,100.7,16.52,0.0239,72.3
0.8922,0.5213,501,ok,KSDD2,efficientnet_b0,onnx_int8,147.8,,,,4.54,0.35936,82.8
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,tflite_fp32,35.1,12.52,13.9,79.9,16.02,0.00417,8.4
0.9341,0.8512,501,ok,KSDD2,efficientnet_b0,tflite_int8,99.1,45.71,47.26,21.9,4.52,0.01656,9.1
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,pytorch,25.3,,,,,,
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,onnx_fp32,14.3,5.35,5.9,186.8,17.08,0.01018,62.5
0.9541,0.8903,501,ok,KSDD2,mobilenet_v3_large,onnx_int8,125.4,,,,4.49,0.20379,82.2
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,tflite_fp32,19.9,6.04,7.01,165.5,16.82,0.00193,7.7
0.9381,0.8639,501,ok,KSDD2,mobilenet_v3_large,tflite_int8,51.9,20.91,21.81,47.8,4.52,0.00858,10.0
