dataset,yolo_model,cnn_model,format,num_images,mean_det_ms,mean_cls_ms,mean_e2e_ms,std_e2e_ms,p95_e2e_ms,fps_e2e,avg_detections,det_pct,cls_pct,status
NEU-DET,yolov8n,resnet50,pytorch,50,54.89,102.02,157.14,64.09,244.99,6.36,2.1,34.9,64.9,ok
NEU-DET,yolov8n,resnet50,onnx_fp32,50,387.88,277.85,665.97,177.17,965.15,1.5,2.1,58.2,41.7,ok
NEU-DET,yolov8n,resnet50,onnx_int8,50,746.94,761.45,1508.6,536.33,2229.25,0.66,1.2,49.5,50.5,ok
NEU-DET,yolov8n,efficientnet_b0,pytorch,50,75.54,64.2,140.0,50.78,234.61,7.14,2.1,54.0,45.9,ok
NEU-DET,yolov8n,efficientnet_b0,onnx_fp32,50,337.49,77.33,415.27,116.6,572.66,2.41,2.1,81.3,18.6,ok
NEU-DET,yolov8n,efficientnet_b0,onnx_int8,50,749.09,383.35,1132.66,402.0,1722.75,0.88,1.2,66.1,33.8,ok
NEU-DET,yolov8n,mobilenet_v3_large,pytorch,50,66.56,37.53,104.33,24.38,136.22,9.58,2.1,63.8,36.0,ok
NEU-DET,yolov8n,mobilenet_v3_large,onnx_fp32,50,335.2,25.14,360.57,56.72,450.48,2.77,2.1,93.0,7.0,ok
NEU-DET,yolov8n,mobilenet_v3_large,onnx_int8,50,754.26,239.0,993.49,294.81,1338.4,1.01,1.2,75.9,24.1,ok
NEU-DET,yolov8s,resnet50,pytorch,50,178.39,162.17,340.84,90.23,503.73,2.93,2.44,52.3,47.6,ok
NEU-DET,yolov8s,resnet50,onnx_fp32,50,671.49,327.82,999.58,243.28,1310.05,1.0,2.44,67.2,32.8,ok
NEU-DET,yolov8s,resnet50,onnx_int8,50,1549.67,1046.37,2596.32,543.83,3333.34,0.39,1.72,59.7,40.3,ok
NEU-DET,yolov8s,efficientnet_b0,pytorch,50,198.85,79.96,279.13,45.25,358.93,3.58,2.44,71.2,28.6,ok
NEU-DET,yolov8s,efficientnet_b0,onnx_fp32,50,688.32,75.52,764.13,139.22,932.83,1.31,2.44,90.1,9.9,ok
NEU-DET,yolov8s,efficientnet_b0,onnx_int8,50,1482.11,521.97,2004.35,284.46,2434.06,0.5,1.72,73.9,26.0,ok
NEU-DET,yolov8s,mobilenet_v3_large,pytorch,50,171.73,47.12,219.11,26.23,264.6,4.56,2.44,78.4,21.5,ok
NEU-DET,yolov8s,mobilenet_v3_large,onnx_fp32,50,667.43,57.61,725.29,153.99,918.98,1.38,2.44,92.0,7.9,ok
NEU-DET,yolov8s,mobilenet_v3_large,onnx_int8,50,1450.65,347.49,1798.42,237.28,2164.44,0.56,1.72,80.7,19.3,ok
DAGM,yolov8n,resnet50,pytorch,50,77.18,5.62,82.95,19.69,141.71,12.06,0.08,93.0,6.8,ok
DAGM,yolov8n,resnet50,onnx_fp32,50,108.83,5.0,113.99,113.84,377.46,8.77,0.08,95.5,4.4,ok
DAGM,yolov8n,resnet50,onnx_int8,50,439.43,70.36,509.95,274.32,1238.73,1.96,0.08,86.2,13.8,ok
DAGM,yolov8n,efficientnet_b0,pytorch,50,78.89,2.36,81.4,9.18,106.61,12.28,0.08,96.9,2.9,ok
DAGM,yolov8n,efficientnet_b0,onnx_fp32,50,115.44,2.11,117.71,118.98,367.94,8.5,0.08,98.1,1.8,ok
DAGM,yolov8n,efficientnet_b0,onnx_int8,50,449.51,43.66,493.33,198.53,943.67,2.03,0.08,91.1,8.8,ok
DAGM,yolov8n,mobilenet_v3_large,pytorch,50,80.15,1.88,82.19,7.53,103.44,12.17,0.08,97.5,2.3,ok
DAGM,yolov8n,mobilenet_v3_large,onnx_fp32,50,144.2,1.21,145.57,101.61,320.52,6.87,0.08,99.1,0.8,ok
DAGM,yolov8n,mobilenet_v3_large,onnx_int8,50,451.97,27.21,479.34,170.46,893.98,2.09,0.08,94.3,5.7,ok
DAGM,yolov8s,resnet50,pytorch,50,202.92,6.46,209.54,24.29,281.52,4.77,0.08,96.8,3.1,ok
DAGM,yolov8s,resnet50,onnx_fp32,50,202.1,15.1,217.38,162.9,688.68,4.6,0.08,93.0,6.9,ok
DAGM,yolov8s,resnet50,onnx_int8,50,1267.48,75.26,1342.91,266.94,2129.17,0.74,0.08,94.4,5.6,ok
DAGM,yolov8s,efficientnet_b0,pytorch,50,200.25,2.84,203.25,12.21,237.64,4.92,0.08,98.5,1.4,ok
DAGM,yolov8s,efficientnet_b0,onnx_fp32,50,222.45,6.22,228.86,149.16,647.84,4.37,0.08,97.2,2.7,ok
DAGM,yolov8s,efficientnet_b0,onnx_int8,50,1266.66,34.53,1301.36,151.68,1601.49,0.77,0.08,97.3,2.7,ok
DAGM,yolov8s,mobilenet_v3_large,pytorch,50,199.65,2.1,201.92,10.63,227.61,4.95,0.08,98.9,1.0,ok
DAGM,yolov8s,mobilenet_v3_large,onnx_fp32,50,205.36,3.64,209.17,152.59,654.58,4.78,0.08,98.2,1.7,ok
DAGM,yolov8s,mobilenet_v3_large,onnx_int8,50,1272.31,21.42,1293.89,130.02,1604.58,0.77,0.08,98.3,1.7,ok
KSDD2,yolov8n,resnet50,pytorch,50,77.87,10.32,88.36,25.08,151.27,11.32,0.14,88.1,11.7,ok
KSDD2,yolov8n,resnet50,onnx_fp32,50,135.22,28.49,163.86,150.3,450.52,6.1,0.14,82.5,17.4,ok
KSDD2,yolov8n,resnet50,onnx_int8,50,475.56,102.33,578.06,347.62,1267.62,1.73,0.12,82.3,17.7,ok
KSDD2,yolov8n,efficientnet_b0,pytorch,50,78.15,4.6,82.92,12.31,112.86,12.06,0.14,94.2,5.5,ok
KSDD2,yolov8n,efficientnet_b0,onnx_fp32,50,167.86,2.58,170.6,131.2,421.7,5.86,0.14,98.4,1.5,ok
KSDD2,yolov8n,efficientnet_b0,onnx_int8,50,467.88,46.35,514.4,217.62,920.62,1.94,0.12,91.0,9.0,ok
KSDD2,yolov8n,mobilenet_v3_large,pytorch,50,80.35,3.16,83.68,10.31,105.41,11.95,0.14,96.0,3.8,ok
KSDD2,yolov8n,mobilenet_v3_large,onnx_fp32,50,167.04,3.03,170.23,116.79,393.07,5.87,0.14,98.1,1.8,ok
KSDD2,yolov8n,mobilenet_v3_large,onnx_int8,50,468.06,33.04,501.28,195.87,904.87,1.99,0.12,93.4,6.6,ok
KSDD2,yolov8s,resnet50,pytorch,50,200.65,9.06,209.88,28.59,278.33,4.76,0.12,95.6,4.3,ok
KSDD2,yolov8s,resnet50,onnx_fp32,50,220.4,19.97,240.56,186.79,722.36,4.16,0.12,91.6,8.3,ok
KSDD2,yolov8s,resnet50,onnx_int8,50,1283.27,119.51,1402.96,360.93,2249.71,0.71,0.14,91.5,8.5,ok
KSDD2,yolov8s,efficientnet_b0,pytorch,50,205.44,3.91,209.53,13.77,239.38,4.77,0.12,98.0,1.9,ok
KSDD2,yolov8s,efficientnet_b0,onnx_fp32,50,238.58,8.85,247.6,193.74,772.87,4.04,0.12,96.4,3.6,ok
KSDD2,yolov8s,efficientnet_b0,onnx_int8,50,1284.38,60.48,1345.04,214.97,1758.01,0.74,0.14,95.5,4.5,ok
KSDD2,yolov8s,mobilenet_v3_large,pytorch,50,200.49,2.73,203.4,11.69,223.62,4.92,0.12,98.6,1.3,ok
KSDD2,yolov8s,mobilenet_v3_large,onnx_fp32,50,223.57,5.62,229.37,190.59,747.45,4.36,0.12,97.5,2.5,ok
KSDD2,yolov8s,mobilenet_v3_large,onnx_int8,50,1283.0,34.38,1317.57,162.4,1649.48,0.76,0.14,97.4,2.6,ok
