load_ms,mean_ms,std_ms,p50_ms,p95_ms,fps,status,dataset,model,format,type,size_mb,error
48.1,55.67,2.79,55.84,59.33,18.0,ok,NEU-DET,yolov8n,pytorch,yolo,6.26,
109.8,37.91,2.39,38.31,40.48,26.4,ok,NEU-DET,yolov8n,onnx_fp32,yolo,12.31,
,,,,,,error,NEU-DET,yolov8n,onnx_int8,yolo,3.4,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name '/model.0/conv/Conv_quant'
50.5,79.57,10.64,77.07,94.33,12.6,ok,NEU-DET,yolov8n,tflite,yolo,12.28,
40.7,161.62,13.61,165.63,177.81,6.2,ok,NEU-DET,yolov8s,pytorch,yolo,22.53,
222.4,131.0,51.03,112.6,209.07,7.6,ok,NEU-DET,yolov8s,onnx_fp32,yolo,44.8,
,,,,,,error,NEU-DET,yolov8s,onnx_int8,yolo,11.54,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name '/model.0/conv/Conv_quant'
43.1,97.19,49.63,76.11,227.96,10.3,ok,NEU-DET,yolov8s,tflite,yolo,12.28,
29.6,69.36,3.01,69.82,73.58,14.4,ok,DAGM,yolov8n,pytorch,yolo,6.25,
133.9,43.64,1.29,43.66,45.74,22.9,ok,DAGM,yolov8n,onnx_fp32,yolo,12.31,
,,,,,,error,DAGM,yolov8n,onnx_int8,yolo,3.4,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name '/model.0/conv/Conv_quant'
28.7,78.04,1.74,78.02,80.95,12.8,ok,DAGM,yolov8n,tflite,yolo,12.28,
29.0,181.93,4.53,181.6,189.55,5.5,ok,DAGM,yolov8s,pytorch,yolo,22.52,
195.2,132.71,5.43,131.74,143.16,7.5,ok,DAGM,yolov8s,onnx_fp32,yolo,44.79,
,,,,,,error,DAGM,yolov8s,onnx_int8,yolo,11.53,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name '/model.0/conv/Conv_quant'
32.0,82.38,1.82,82.29,85.21,12.1,ok,DAGM,yolov8s,tflite,yolo,12.28,
28.3,80.36,2.96,80.53,84.67,12.4,ok,KSDD2,yolov8n,pytorch,yolo,6.25,
122.7,52.19,1.48,52.11,54.07,19.2,ok,KSDD2,yolov8n,onnx_fp32,yolo,12.31,
